    time          teq
1991.949340820312   2.23620939
1991.952026367188   2.18048978
1991.954711914062   2.06856060
1991.957519531250   1.98080552
1991.960205078125   1.91286516
1991.963012695312   1.89042735
1991.965698242188   1.92878866
1991.968505859375   1.96359217
1991.971191406250   1.99573076
1991.973999023438   2.02589226
1991.976684570312   2.13830900
1991.979370117188   2.24611855
1991.982177734375   2.34183335
1991.984863281250   2.43987465
1991.987670898438   2.48093557
1991.990356445312   2.42619133
1991.993164062500   2.33489275
1991.995849609375   2.28796816
1991.998657226562   2.25327492
1992.001342773438   2.42732000
1992.004028320312   2.40388274
1992.006835937500   2.35828972
1992.009521484375   2.26894593
1992.012329101562   2.20437980
1992.015014648438   2.13404036
1992.017700195312   2.05327320
1992.020507812500   1.90772378
1992.023193359375   1.76635861
1992.025878906250   1.55406392
1992.028686523438   1.35922813
1992.031372070312   1.19243562
1992.034179687500   1.04080522
1992.036865234375   0.88760829
1992.039550781250   0.75499874
1992.042358398438   0.70187390
1992.045043945312   0.64325106
1992.047851562500   0.57795537
1992.050537109375   0.56012839
1992.053222656250   0.59513211
1992.056030273438   0.63322371
1992.058715820312   0.68587077
1992.061401367188   0.83601755
1992.064208984375   1.08090413
1992.066894531250   1.35535073
1992.069702148438   1.57797217
1992.072387695312   1.71400774
1992.075073242188   1.84136879
1992.077880859375   1.89473581
1992.080566406250   1.93727100
1992.083251953125   1.99426317
1992.086059570312   2.07421207
1992.088745117188   2.15323257
1992.091552734375   2.22757745
1992.094238281250   2.22864890
1992.096923828125   2.24579787
1992.099731445312   2.25356102
1992.102416992188   2.22832656
1992.105224609375   2.21185231
1992.107910156250   2.16789198
1992.110595703125   2.15177679
1992.113403320312   2.08527970
1992.116088867188   2.05011106
1992.118774414062   2.01309848
1992.121582031250   2.07093406
1992.124267578125   2.15745378
1992.127075195312   2.27450442
1992.129760742188   2.37952161
1992.132446289062   2.45512915
1992.135253906250   2.50094891
1992.137939453125   2.52523899
1992.140747070312   2.57344556
1992.143432617188   2.59014440
1992.146118164062   2.63034153
1992.148925781250   2.69854784
1992.151611328125   2.78179550
1992.154296875000   2.88735867
1992.157104492188   2.96272302
1992.159790039062   3.03117037
1992.162597656250   3.10712957
1992.165283203125   3.15464711
1992.167968750000   3.20298624
1992.170776367188   3.25584197
1992.173461914062   3.28255248
1992.176147460938   3.27556086
1992.178955078125   3.26510859
1992.181640625000   3.27319670
1992.184448242188   3.25719261
1992.187133789062   3.20459700
1992.189819335938   3.09007454
1992.192626953125   2.90964580
1992.195312500000   2.73874903
1992.198120117188   2.55082893
1992.200805664062   2.41155076
1992.203491210938   2.26391697
1992.206298828125   2.10066271
1992.208984375000   1.98064363
1992.211669921875   1.87565160
1992.214477539062   1.84570062
1992.217163085938   1.74060988
1992.219970703125   1.59331238
1992.222656250000   1.42324007
1992.225341796875   1.27305210
1992.228149414062   1.17398536
1992.230834960938   1.13266885
1992.233642578125   1.10610080
1992.236328125000   1.08568764
1992.239013671875   1.11423945
1992.241821289062   1.15163767
1992.244506835938   1.17197657
1992.247192382812   1.15255642
1992.250000000000   1.10694230
1992.252685546875   1.04366469
1992.255493164062   1.02431560
1992.258178710938   1.02384448
1992.260864257812   1.02423263
1992.263671875000   1.07036388
1992.266357421875   1.18759847
1992.269042968750   1.26799703
1992.271850585938   1.29385674
1992.274536132812   1.29524720
1992.277343750000   1.29511976
1992.280029296875   1.34675276
1992.282714843750   1.31323636
1992.285522460938   1.33513546
1992.288208007812   1.33844602
1992.291015625000   1.36973679
1992.293701171875   1.39506245
1992.296386718750   1.45573258
1992.299194335938   1.53980970
1992.301879882812   1.64326560
1992.304565429688   1.69491863
1992.307373046875   1.73313832
1992.310058593750   1.77493739
1992.312866210938   1.75731885
1992.315551757812   1.77963150
1992.318237304688   1.80101645
1992.321044921875   1.79250383
1992.323730468750   1.78507757
1992.326538085938   1.69102132
1992.329223632812   1.64930975
1992.331909179688   1.68536711
1992.334716796875   1.72035158
1992.337402343750   1.73301947
1992.340087890625   1.79495907
1992.342895507812   1.83034444
1992.345581054688   1.81030619
1992.348388671875   1.78653610
1992.351074218750   1.77811527
1992.353759765625   1.75169420
1992.356567382812   1.72258925
1992.359252929688   1.66364157
1992.361938476562   1.60742497
1992.364746093750   1.55797160
1992.367431640625   1.49543047
1992.370239257812   1.44062078
1992.372924804688   1.39160693
1992.375610351562   1.33314395
1992.378417968750   1.25985384
1992.381103515625   1.19480062
1992.383911132812   1.15006363
1992.386596679688   1.12470436
1992.389282226562   1.13689768
1992.392089843750   1.18031430
1992.394775390625   1.22800362
1992.397460937500   1.28339100
1992.400268554688   1.30951774
1992.402954101562   1.33553183
1992.405761718750   1.33789623
1992.408447265625   1.36837804
1992.411132812500   1.33684015
1992.413940429688   1.30288827
1992.416625976562   1.24121761
1992.419433593750   1.21912372
1992.422119140625   1.21849692
1992.424804687500   1.18097711
1992.427612304688   1.14733529
1992.430297851562   1.08461130
1992.432983398438   1.02752829
1992.435791015625   0.98423898
1992.438476562500   1.01680672
1992.441284179688   1.05247152
1992.443969726562   1.13631856
1992.446655273438   1.19053710
1992.449462890625   1.25928795
1992.452148437500   1.27436650
1992.454833984375   1.27115178
1992.457641601562   1.24147439
1992.460327148438   1.17164779
1992.463134765625   1.10827005
1992.465820312500   1.07945561
1992.468505859375   1.01188362
1992.471313476562   0.91356617
1992.473999023438   0.75804061
1992.476806640625   0.63958490
1992.479492187500   0.51170063
1992.482177734375   0.35966742
1992.484985351562   0.26089221
1992.487670898438   0.20351318
1992.490356445312   0.14825140
1992.493164062500   0.07007670
1992.495849609375   0.00755362
1992.498657226562   0.02127867
1992.501342773438   0.12621060
1992.504028320312   0.16956694
1992.506835937500   0.21554026
1992.509521484375   0.35297596
1992.512329101562   0.45006719
1992.515014648438   0.53949934
1992.517700195312   0.57671952
1992.520507812500   0.67843801
1992.523193359375   0.71954477
1992.525878906250   0.71725333
1992.528686523438   0.79409510
1992.531372070312   0.84962767
1992.534179687500   0.92275625
1992.536865234375   0.93699801
1992.539550781250   0.87666786
1992.542358398438   0.82089216
1992.545043945312   0.77517134
1992.547851562500   0.72512764
1992.550537109375   0.66727078
1992.553222656250   0.65368146
1992.556030273438   0.64250463
1992.558715820312   0.57878274
1992.561401367188   0.54433507
1992.564208984375   0.49239260
1992.566894531250   0.43976229
1992.569702148438   0.36056963
1992.572387695312   0.31456131
1992.575073242188   0.29236263
1992.577880859375   0.24476412
1992.580566406250   0.16287950
1992.583251953125   0.15502606
1992.586059570312   0.15819705
1992.588745117188   0.20291688
1992.591552734375   0.28772011
1992.594238281250   0.34047446
1992.596923828125   0.41642252
1992.599731445312   0.49332774
1992.602416992188   0.59496772
1992.605224609375   0.63037449
1992.607910156250   0.69673532
1992.610595703125   0.70618474
1992.613403320312   0.68516284
1992.616088867188   0.67684942
1992.618774414062   0.67630601
1992.621582031250   0.71400112
1992.624267578125   0.75805569
1992.627075195312   0.82126105
1992.629760742188   0.87380099
1992.632446289062   0.90506047
1992.635253906250   0.92009842
1992.637939453125   0.95070171
1992.640747070312   1.00436735
1992.643432617188   1.01826751
1992.646118164062   1.03883553
1992.648925781250   1.04302263
1992.651611328125   1.05779636
1992.654296875000   1.10495925
1992.657104492188   1.15893543
1992.659790039062   1.18637574
1992.662597656250   1.23183358
1992.665283203125   1.23802817
1992.667968750000   1.23540246
